date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:58	17524/17524	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2010:38:57%20GMT	https://tema8.dokuzyazilim.com/	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/index.html	(from )
13:38:58	0/0	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Nov%202023%2010:38:57%20GMT	https://tema8.dokuzyazilim.com/robots.txt		(from )
13:38:58	1520/1520	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2012%20Feb%202022%2010:33:07%20GMT	https://tema8.dokuzyazilim.com/u/tema8/favicon.ico?v=2780	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/u/tema8/faviconb476.ico	(from https://tema8.dokuzyazilim.com/)
13:38:59	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/Users/abdul/Desktop/HTTRACK/site8/site/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://tema8.dokuzyazilim.com/)
13:38:59	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/abdul/Desktop/HTTRACK/site8/site/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://tema8.dokuzyazilim.com/)
13:39:00	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/Desktop/HTTRACK/site8/site/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://tema8.dokuzyazilim.com/)
13:39:00	4895/4895	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2022:12:28%20GMT	https://tema8.dokuzyazilim.com/js/fancybox/jquery.fancybox.css?v=2780	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/js/fancybox/jquery.fancyboxb476.css	(from https://tema8.dokuzyazilim.com/)
13:39:00	75178/75178	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:50:25%20GMT	https://tema8.dokuzyazilim.com/templates/default-neo/css/main.css?v=2780	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/templates/default-neo/css/mainb476.css	(from https://tema8.dokuzyazilim.com/)
13:39:00	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Sep%202020%2006:43:25%20GMT	https://tema8.dokuzyazilim.com/templates/default-neo/css/color.default.css?v=2780	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/templates/default-neo/css/color.defaultb476.css	(from https://tema8.dokuzyazilim.com/)
13:39:01	7369/7369	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Nov%202023%2009:50:29%20GMT	https://tema8.dokuzyazilim.com/templates/neo-berry/css/main.css?v=2780	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/templates/neo-berry/css/mainb476.css	(from https://tema8.dokuzyazilim.com/)
13:39:01	23901/23901	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2010:39:00%20GMT	https://tema8.dokuzyazilim.com/register?adr=1	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/register79a6.html	(from https://tema8.dokuzyazilim.com/)
13:39:01	17052/17052	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2010:39:00%20GMT	https://tema8.dokuzyazilim.com/login	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/login.html	(from https://tema8.dokuzyazilim.com/)
13:39:01	1520/1520	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Feb%202022%2010:33:03%20GMT	https://tema8.dokuzyazilim.com/u/tema8/1-1644661983.png	C:/Users/abdul/Desktop/HTTRACK/site8/site/tema8.dokuzyazilim.com/u/tema8/1-1644661983.png	(from https://tema8.dokuzyazilim.com/)
